,AAPL,MSFT,GOOGL,TSLA
2025-01-02,0.0,0.0,0.0,0.0
2025-01-03,-0.1571039771289362,-1.4862889873736074,-2.6570306763689544,0.7390625934704742
2025-01-06,0.863407991631493,-1.809677264808096,-4.984236988789171,0.6839949771857867
2025-01-07,3.218994422113486,-3.5975240582076684,-4.8673629978400745,-1.7732623342182396
2025-01-08,2.9092753386113834,-1.1876676372901795,-4.448062426871502,-1.089999870636038
2025-01-09,2.600811925336499,-3.256550543572856,-5.695027217840742,-0.7309625998350056
2025-01-10,5.084340575465451,-3.8450524419424204,-4.7428831560822555,-0.2751955144492113
2025-01-13,6.348714747707351,-3.6064360660985284,-7.067378538025548,-2.133143955464334
2025-01-14,5.655457485875193,-1.4720418363553867,-7.110852326294193,-3.6689147139003064
2025-01-15,6.5709327975521425,-3.542272823165582,-8.749316596981572,-2.096443115403046
2025-01-16,5.886532356372909,-1.8082808377812731,-9.593229758868993,-2.1027167601597285
2025-01-17,5.203164596895649,-1.7409539058761414,-9.48084037642415,-1.0498625446943688
2025-01-20,5.641286440190485,-3.1350073462531602,-10.600662271025662,-0.9548830192523394
2025-01-21,2.6663029493882995,-2.411467133481715,-11.068248651829515,-0.8573865921186807
2025-01-22,0.06547586995357957,-2.067287808614149,-9.677770608444924,0.5916028820807107
2025-01-23,-0.7240849380280245,-2.8957380277340072,-10.410239346283179,-0.1323347382894413
2025-01-24,-2.178047314804099,-2.7409706122807465,-9.238210184349905,0.06626285930166897
2025-01-27,-1.6631682482879162,-3.249633708464983,-10.726329792359568,-0.5726010542545512
2025-01-28,-2.9482060084392914,-3.0314223893895376,-9.967529654423812,-1.1656654024912672
2025-01-29,-4.9502860439839536,-2.014461493831321,-7.970690537374836,-1.5691083099860559
2025-01-30,-2.807558817373368,0.3713636093507722,-11.331248683793827,-1.1861627782127293
2025-01-31,-3.0821493160209767,-1.4359043753397804,-12.34136391101276,-1.8402915717142254
2025-02-03,-2.9292839410875904,1.7733273045064113,-11.533113915131521,0.06407413897171477
2025-02-04,-4.948738616691795,-1.1489968833744202,-11.752371274141938,-1.2219333685233869
2025-02-05,-5.670704935869752,-1.3176942768691635,-11.210761865064589,-1.4424930121991086
2025-02-06,-5.4596943115606695,-0.39029012986041556,-11.964285864751767,-2.0360898188904186
2025-02-07,-7.037464261953064,0.08693216272275262,-11.799228565720144,0.1466158177777066
2025-02-10,-6.459754307805188,-0.7899819603432334,-11.954125912142288,0.49986195397455635
2025-02-11,-7.24808226277498,-1.0419695388406258,-10.360616758062458,2.113845616291976
2025-02-12,-7.599666625225787,-1.7158931594427274,-9.966102153157108,-0.10188064408170883
2025-02-13,-8.379327406060998,-2.527005254845094,-9.45725016115283,0.3570010051875405
2025-02-14,-5.779605489470596,-1.2272322492595023,-9.963156631164505,1.7554887671703545
2025-02-17,-5.742752735867629,-0.6396504210885667,-10.56824937029578,1.941482712336473
2025-02-18,-7.181980529110687,-1.613096414657289,-11.095168383835919,3.631542240299912
2025-02-19,-5.981136723028024,-0.22648654089695297,-10.51584462998295,2.8895522763093595
2025-02-20,-7.646237928311361,0.2935189364905222,-11.027014016885882,5.126636363512604
2025-02-21,-7.300996958309424,1.5770977220515014,-10.586427466934456,8.815399962455794
2025-02-24,-9.969507979028847,2.598216554808186,-7.748509738495734,8.28934684143048
2025-02-25,-11.708145364018307,1.3851173208609735,-6.4866928482305575,7.631879175808409
2025-02-26,-11.393209762731427,0.5954640763396579,-6.886582670004082,10.044429693536848
2025-02-27,-10.357042972150488,1.7851456618743322,-5.151395637951617,12.719672728882191
2025-02-28,-10.07104260253432,2.78014315509183,-5.673178297647996,11.905500132265988
2025-03-03,-10.171033251630156,2.8119346397015077,-8.498174986480489,11.26988104178186
2025-03-04,-10.520539017883868,3.057210485381745,-9.82454248852207,10.86919763902281
2025-03-05,-12.448744540915568,5.097090104534052,-12.298342945890706,8.703027624505566
2025-03-06,-13.338794941499387,4.230884380791422,-12.70537411349495,7.273782214474744
2025-03-07,-13.882597750090408,5.152389530202273,-12.625864944659904,5.726081872086608
2025-03-10,-12.462151786295228,4.9005046875508995,-10.373008257826955,4.575834921911959
2025-03-11,-11.954899529255957,4.625158672014029,-9.876089468420679,4.5883959971394495
