,AAPL,MSFT,GOOGL,TSLA
2025-01-02,,,,
2025-01-03,-0.001571039771289362,-0.014862889873736074,-0.026570306763689544,0.007390625934704742
2025-01-06,0.010221177564066819,-0.0032826727783409337,-0.023907287075690786,-0.0005466361793231567
2025-01-07,0.02335422208495519,-0.018207973490637963,0.0012300484387555155,-0.024405639763905085
2025-01-08,-0.0030006016357370102,0.024997868544087476,0.004407536510935284,0.0069559722721017625
2025-01-09,-0.0029974306228464087,-0.020937496938018163,-0.013050125645174937,0.003629939038837904
2025-01-10,0.024205740710280477,-0.006083118822785227,0.010096435359330247,0.004591231035600218
2025-01-13,0.012031994161241455,0.0024815818832391034,-0.024402327710086547,-0.018630755413356792
2025-01-14,-0.006518717818798203,0.022142497306217868,-0.0004677990094837936,-0.015692450135897817
2025-01-15,0.008664723370293892,-0.021011609551187194,-0.017638920279932524,0.016323615516497858
2025-01-16,-0.006422017929404333,0.01797670374510707,-0.00924829415424977,-6.407984506717757e-05
2025-01-17,-0.006453774094493103,0.0006856681243547769,0.0012431522788070026,0.010754682669650295
2025-01-20,0.004164531028829632,-0.014187532810380099,-0.012371103523920124,0.0009598725972961297
2025-01-21,-0.028161181968249682,0.007469573815566344,-0.005230311461829951,0.0009843637940536443
2025-01-22,-0.025332821039799835,0.0035268418814977665,0.015635338586112324,0.014615203537535537
2025-01-23,-0.007890441744440646,-0.008459381963208057,-0.008109506848673287,-0.007196799729086711
2025-01-24,-0.014645670864564142,0.0015938272153024347,0.01308217762142938,0.0019886075945669823
2025-01-27,0.005263430675659597,-0.005229983266195948,-0.01639588213313381,-0.006384408643845263
2025-01-28,-0.013067715699809579,0.0022554056117773946,0.008499708101737946,-0.005964797978476044
2025-01-29,-0.020628985340742423,0.010487530297102587,0.02217909948915553,-0.004082011672742691
2025-01-30,0.022543226459388555,0.024348747167745488,-0.0365161725763441,0.0038905015000709753
2025-01-31,-0.002825224835454443,-0.01800581281055924,-0.011392009160213656,-0.00661980965310871
2025-02-03,0.00157726748844067,0.03255984503796583,0.009220426325829756,0.019400686301724646
