,AAPL,MSFT,GOOGL,TSLA
2025-01-02,34.97942386831276,43.20987654320987,11.522633744855968,10.2880658436214
2025-01-03,35.25135646609257,42.966078369569146,11.321457979656962,10.461107184681326
2025-01-06,35.63201876857175,42.84950913402197,11.057108118498915,10.461363978907363
2025-01-07,36.53350287767732,42.14928896110418,11.091756630972744,10.225451530245746
2025-01-08,36.04039787825397,42.74807677194148,11.023351614561133,10.188173735243414
2025-01-09,36.33567345735175,42.32279669197999,11.001606723839014,10.339923126829252
2025-01-10,36.92694355396168,41.739512074602224,11.026607032842366,10.306937338593723
2025-01-13,37.33884422570872,41.80681051962157,10.748204445728723,10.10614080894098
2025-01-14,36.904026195523066,42.51201313004831,10.687740452268004,9.896220222160624
2025-01-15,37.44865384175242,41.87018131397313,10.562644786640247,10.118520057634225
2025-01-16,37.05480398572176,42.44719842344101,10.421826872271978,10.076170718565242
2025-01-17,36.848351295418645,42.51402015292655,10.444048405887706,10.193580145767097
2025-01-20,37.21360222122605,42.15074481944316,10.373885187083507,10.261767772247275
2025-01-21,36.44893650242844,42.79825876093184,10.400468154642365,10.352336581997355
2025-01-22,35.68921550932929,43.1470285706497,10.611737317506172,10.552018602514833
2025-01-23,35.696250858398486,43.13078587145105,10.611485577934454,10.561477692216021
2025-01-24,35.27725106041773,43.32700932174392,10.782030729436492,10.613708888401842
2025-01-27,35.56445389952738,43.223797879980076,10.635610592402582,10.576137628089977
2025-01-28,35.21943404993553,43.46905548535574,10.76259697143311,10.548913493275638
2025-01-29,34.518786863850686,43.95791321246282,11.009560417547485,10.513739506138998
2025-01-30,34.77965247840494,44.36831600787786,10.452073279208667,10.399958234508551
2025-01-31,35.06183542041653,44.0473704823012,10.446352755708888,10.444441341573368
2025-02-03,34.50012784785458,44.68243351027263,10.357437415197142,10.460001226675642
2025-02-04,34.52849883991421,44.35792956350469,10.559952455716468,10.553619140864628
2025-02-05,34.36821261413643,44.41401338529373,10.656382302373146,10.561391698196703
2025-02-06,34.328297362533874,44.67939768252125,10.530118498799455,10.462186456145421
2025-02-07,33.79121484456269,44.941089326596604,10.561055706408602,10.706640122432107
2025-02-10,34.057246347686764,44.620756231822654,10.559883803459337,10.762113617031252
2025-02-11,33.78252061590469,44.5236304099153,10.754918358925265,10.938930615254755
2025-02-12,33.86486598700694,44.4968729708915,10.869785683835524,10.768475358266032
2025-02-13,33.76213312341089,44.370169229795195,10.990797039759169,10.876900607034756
2025-02-14,34.15996694864326,44.23643502568941,10.75305555651343,10.850542469153911
2025-02-17,34.09692260208162,44.400096669426816,10.656909293906674,10.846071434584895
2025-02-18,33.86024343403883,44.33691230833544,10.68371386708403,11.1191303905417
2025-02-19,33.94093782355398,44.493286004879614,10.641285393282892,10.924490778283499
2025-02-20,33.40412753571857,44.81142808630046,10.600901846988945,11.183542530992028
2025-02-21,33.14999942755374,44.87191818037239,10.532974068353086,11.44510832372078
2025-02-24,32.26806836324146,45.42485291230838,10.891704272673527,11.41537445177661
